Rec Id,Src Acct Code,Src Acct Desc,Xref Key,Acct Id,Property Id,Property Name,Acct Code,Acct Suffix,Acct Name,Multiplier,Created,Updated
105,AAA-stat,AAA,,0,0,,,,,1.00,01/07/2021,12/30/2021
107,COMP-stat,NO CHARGE-COMP ROOM,,0,0,,,,,1.00,01/07/2021,12/30/2021
109,KEYT-stat,KEYT or KCOY,,0,0,,,,,1.00,01/07/2021,12/30/2021
111,NCEAS-stat,NCEAS,,0,0,,,,,1.00,01/07/2021,12/30/2021
113,TRIP-stat,TRIP ADVISOR,,0,0,,,,,1.00,01/07/2021,12/30/2021
115,VISCTR-stat,VISITOR CENTER,,0,0,,,,,1.00,01/07/2021,12/30/2021
117,YELP-stat,YELP,,0,0,,,,,1.00,01/07/2021,12/30/2021
118,8G,REFUND AD DINER,,0,0,,,,,1.00,01/19/2021,01/19/2021
119,FD,FORFEIT ADV DEP,,332,1,Marina Beach Motel,40120-635,,Revenues : Other Revenue,1.00,01/19/2021,05/24/2022
120,GC,GIFT CERTIFICATE PURCHASE,,0,0,,,,,1.00,01/19/2021,01/19/2021
121,RH,REFUND CHECK,GstCheck,0,0,,,,,-1.00,01/19/2021,04/19/2022
123,TF,Transfer to Folio,GstWire,0,0,,,,,-1.00,01/19/2021,03/24/2021
124,7B,ADV DEP JCB,,0,0,,,,,1.00,01/20/2021,01/20/2021
125,8B,REFUND AD JCB,,0,0,,,,,1.00,01/20/2021,01/20/2021
126,AB,ADJUST JCB,,0,0,,,,,1.00,01/20/2021,01/20/2021
127,AT1,Auditorium Tax Adjustment,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
128,AT2,Lodging Tax Adjustment,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,04/06/2021
129,AT3,State Tax Adjustment,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
130,AU,AUDITORIUM TAX,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
131,bear,Bear World Ticket Sales,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
132,BR,BREAKFAST REV.,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
133,CA,Refund Check,GstCheck,0,0,,,,,-1.00,01/20/2021,04/19/2022
134,Crib,CRIB,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,10/18/2023
135,DBAX,PAYMENT AMEX,GstPMSAX,0,0,,,,,1.00,01/20/2021,03/23/2021
136,DM,PAYMENT VISA/MC,GstPMSMCV,0,0,,,,,-1.00,01/20/2021,03/24/2021
137,FF,FORFEIT FEE,,0,0,,,,,1.00,01/20/2021,01/20/2021
138,GE,general expense,,0,0,,,,,1.00,01/20/2021,01/20/2021
139,JB,PAYMENT JCB,,0,0,,,,,1.00,01/20/2021,01/20/2021
140,LO,LODGING TAX,,333,0,,60100-282,,Revenues : Bed Tax,1.00,01/20/2021,01/21/2021
141,MR,MEETING ROOM,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
142,Pet,PET CHARGE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
143,PT,PET DEPOSIT,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
144,Roll,ROLLAWAY,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,01/21/2021
145,SHIP,Shipping Guest Items,,0,0,,,,,1.00,01/20/2021,03/19/2021
146,SN,Snack Shop,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,10/22/2021
147,ST,STATE TAX,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/20/2021,10/16/2023
148,UP,Upgrade Fee,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/20/2021,03/02/2021
150,BW-Stat,Best Western Member,,0,0,,,,,1.00,01/20/2021,12/30/2021
152,CENTRA-Stat,Central Reservation,,0,0,,,,,1.00,01/20/2021,12/30/2021
154,Corp-Stat,Corporate Travel,,0,0,,,,,1.00,01/20/2021,12/30/2021
156,Direct-Stat,Walk In/Phone,,0,0,,,,,1.00,01/20/2021,12/30/2021
158,OTA-BK-Stat,OTA Commissionable-Booking.com,,0,0,,,,,1.00,01/20/2021,12/30/2021
160,OTA-EX-Stat,OTA Commissionable-Expedia,,0,0,,,,,1.00,01/20/2021,12/30/2021
162,OTA-O-Stat,OTA Commissionable-Other,,0,0,,,,,1.00,01/20/2021,12/30/2021
164,RP-BK-Stat,OTA Noncommissionable,,0,0,,,,,1.00,01/20/2021,12/30/2021
166,RP-EX-Stat,OTANoncommissionable-Expedia,,0,0,,,,,1.00,01/20/2021,12/30/2021
168,RP-O-Stat,OTANoncommissionable-Other,,0,0,,,,,1.00,01/20/2021,12/30/2021
173,MIS-Stat,MISC.,,0,0,,,,,1.00,02/12/2021,12/30/2021
178,92,misc SALES TAX,,455,3,Driftwood Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,10/16/2023
179,AMEX,AMEX,,254,1,Marina Beach Motel,10010-528,,Cash in Bank : Cash in Checking-Mechanics-3955,-1.00,01/07/2021,03/01/2021
180,AMEX,AMEX,,260,3,Driftwood Inn,10050-535,,Cash in Bank : Cash in Checking-Bank of Idaho-3037,-1.00,01/07/2021,03/08/2021
182,CASH,CASH,,457,1,Marina Beach Motel,60010-667,,Cash Over/Under,-1.00,01/07/2021,07/12/2021
183,CASH,CASH,,457,3,Driftwood Inn,60010-667,,Cash Over/Under,-1.00,01/07/2021,07/12/2021
185,CHECKS,CHECKS,,457,1,Marina Beach Motel,60010-667,,Cash Over/Under,-1.00,01/07/2021,07/12/2021
186,CHECKS,CHECKS,,457,3,Driftwood Inn,60010-667,,Cash Over/Under,-1.00,01/07/2021,07/12/2021
187,DINERS CARD,DINERS CARD,,254,1,Marina Beach Motel,10010-528,,Cash in Bank : Cash in Checking-Mechanics-3955,-1.00,01/07/2021,03/01/2021
188,DINERS CARD,DINERS CARD,,260,3,Driftwood Inn,10050-535,,Cash in Bank : Cash in Checking-Bank of Idaho-3037,-1.00,01/07/2021,03/08/2021
189,DISCOVER,DISCOVER,,254,1,Marina Beach Motel,10010-528,,Cash in Bank : Cash in Checking-Mechanics-3955,-1.00,01/07/2021,03/01/2021
190,DISCOVER,DISCOVER,,260,3,Driftwood Inn,10050-535,,Cash in Bank : Cash in Checking-Bank of Idaho-3037,-1.00,01/07/2021,03/08/2021
193,VISA/MASTER,VISA/MASTER,,254,1,Marina Beach Motel,10010-528,,Cash in Bank : Cash in Checking-Mechanics-3955,-1.00,01/07/2021,03/01/2021
194,VISA/MASTER,VISA/MASTER,,260,3,Driftwood Inn,10050-535,,Cash in Bank : Cash in Checking-Bank of Idaho-3037,-1.00,01/07/2021,03/08/2021
228,7B,ADV DEP JCB,,0,3,Driftwood Inn,,,,1.00,01/20/2021,03/01/2021
240,MR,MEETING ROOM,,332,3,Driftwood Inn,40120-635,,Revenues : Other Revenue,1.00,01/20/2021,03/01/2021
"25,378",AAA-Rev,AAA,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,379",BOOK-Rev,BOOKING. COM,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,380",EXPC-Rev,Expedia Collect,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,381",EXPH-Rev,Expedia Hotel,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,382",GOOGLE-Rev,Google,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,383",INTERN-Rev,INTERNET,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,384",ONLINE-Rev,ONLINE,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,385",REFERR-Rev,referral,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,386",REP-Rev,REPEAT GUEST,,0,0,,,,,1.00,03/04/2021,03/04/2021
"25,387",TRIP-Rev,TRIP ADVISOR,,0,0,,,,,1.00,03/04/2021,03/04/2021
